,date,states,positive,negative,death,totalTestResults,deathIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,2020-09-27,56,7080459,90648092,196869.0,101298794,307,665609,35289,806258
1,2020-09-26,56,7045170,89982483,196562.0,100492536,866,886140,47733,1004261
2,2020-09-25,56,6997437,89096343,195696.0,99488275,844,856519,55526,1011675
3,2020-09-24,56,6941911,88239824,194852.0,98476600,921,823449,43772,940353
4,2020-09-23,56,6898139,87416375,193931.0,97536247,1157,800878,38567,923704
5,2020-09-22,56,6859572,86615497,192774.0,96612543,854,672641,49439,769953
6,2020-09-21,56,6810133,85942856,191920.0,95842590,287,639272,39472,725311
7,2020-09-20,56,6770661,85303584,191633.0,95117279,327,790601,36295,905323
8,2020-09-19,56,6734366,84512983,191306.0,94211956,740,946890,45539,1066069
9,2020-09-18,56,6688827,83566093,190566.0,93145887,901,856141,47486,985004
10,2020-09-17,56,6641341,82709952,189665.0,92160883,863,733211,43558,841941
11,2020-09-16,56,6597783,81976741,188802.0,91318942,1200,625601,40021,729637
12,2020-09-15,56,6557762,81351140,187602.0,90589305,1031,649588,35445,724756
13,2020-09-14,56,6522317,80701552,186571.0,89864549,404,371748,33864,445836
14,2020-09-13,56,6488453,80329804,186167.0,89418713,389,612437,34453,728220
15,2020-09-12,56,6454000,79717367,185778.0,88690493,810,806722,42087,903365
16,2020-09-11,56,6411913,78910645,184968.0,87787128,1018,721070,44927,826358
17,2020-09-10,56,6366986,78189575,183950.0,86960770,1170,576461,37581,690301
18,2020-09-09,56,6329405,77613114,182780.0,86270469,1083,553429,30983,626180
19,2020-09-08,56,6298422,77059685,181697.0,85644289,358,486487,22223,540044
20,2020-09-07,56,6276199,76573198,181339.0,85104245,225,559616,28682,615271
21,2020-09-06,56,6247517,76013582,181114.0,84488974,449,702709,33117,782353
22,2020-09-05,56,6214400,75310873,180665.0,83706621,918,761056,44905,876560
23,2020-09-04,56,6169495,74549817,179747.0,82830061,998,850612,51591,949705
24,2020-09-03,56,6117904,73699205,178749.0,81880356,1070,679230,44714,798189
25,2020-09-02,56,6073190,73019975,177679.0,81082167,1032,614433,30603,683904
26,2020-09-01,56,6042587,72405542,176647.0,80398263,1027,656103,42433,732413
27,2020-08-31,56,6000154,71749439,175620.0,79665850,366,648999,31406,705130
28,2020-08-30,56,5968748,71100440,175254.0,78960720,475,700008,39501,774335
29,2020-08-29,56,5929247,70400432,174779.0,78186385,1015,719736,44501,815422
30,2020-08-28,56,5884746,69680696,173764.0,77370963,1023,725710,46548,818699
31,2020-08-27,56,5838198,68954986,172741.0,76552264,1129,698076,43984,791621
32,2020-08-26,56,5794214,68256910,171612.0,75760643,1298,631672,44053,680581
33,2020-08-25,56,5750161,67625238,170314.0,75080062,1147,597782,36379,664004
34,2020-08-24,56,5713782,67027456,169167.0,74416058,343,648010,34643,713471
35,2020-08-23,56,5679139,66379446,168824.0,73702587,572,577947,37566,645324
36,2020-08-22,56,5641573,65801499,168252.0,73057263,1029,710293,46236,794254
37,2020-08-21,56,5595337,65091206,167223.0,72263009,1123,697054,46561,785049
38,2020-08-20,56,5548776,64394152,166100.0,71477960,1134,634078,43758,726290
39,2020-08-19,56,5505018,63760074,164966.0,70751670,1420,644823,44955,703917
40,2020-08-18,56,5460063,63115251,163546.0,70047753,1196,616859,40795,673737
41,2020-08-17,56,5419268,62498392,162350.0,69374016,407,625846,37880,685807
42,2020-08-16,56,5381388,61872546,161943.0,68688209,619,740599,42487,808057
43,2020-08-15,56,5338901,61131947,161324.0,67880152,1221,693310,56149,779619
44,2020-08-14,56,5282752,60438637,160103.0,67100533,1216,798904,55636,885486
45,2020-08-13,56,5227116,59639733,158887.0,66215047,1163,843535,51759,925197
46,2020-08-12,56,5175357,58796198,157724.0,65289850,1519,439024,56134,487484
47,2020-08-11,56,5119223,58357174,156205.0,64802366,1326,698757,55701,756116
48,2020-08-10,56,5063522,57658417,154879.0,64046250,426,693402,42089,753155
49,2020-08-09,56,5021433,56965015,154453.0,63293095,616,666939,50627,726152
50,2020-08-08,56,4970806,56298076,153837.0,62566943,1089,621980,53712,688702
51,2020-08-07,56,4917094,55676096,152748.0,61878241,1333,715719,61345,803528
52,2020-08-06,56,4855749,54960377,151415.0,61074713,1251,691399,54187,785235
53,2020-08-05,56,4801562,54268978,150164.0,60289478,1346,643615,52324,712462
54,2020-08-04,56,4749238,53625363,148818.0,59577016,1255,659553,51866,731054
55,2020-08-03,56,4697372,52965810,147563.0,58845962,519,692703,49713,765730
56,2020-08-02,56,4647659,52273107,147044.0,58080232,498,643326,46812,703760
57,2020-08-01,56,4600847,51629781,146546.0,57376472,1190,673904,61101,751919
58,2020-07-31,56,4539746,50955877,145356.0,56624553,1312,657827,67623,928163
59,2020-07-30,56,4472123,50298050,144044.0,55696390,1259,737950,69418,829896
60,2020-07-29,56,4402705,49560100,142785.0,54866494,1492,767208,64408,850432
61,2020-07-28,56,4338297,48792892,141293.0,54016062,1122,703685,59003,781436
62,2020-07-27,56,4279294,48089207,140171.0,53234626,1060,707142,55332,779193
63,2020-07-26,56,4223962,47382065,139111.0,52455433,559,780054,61000,851125
64,2020-07-25,56,4162962,46602011,138552.0,51604308,1023,715969,64741,793712
65,2020-07-24,56,4098221,45886042,137529.0,50810596,1176,851205,75236,942154
66,2020-07-23,56,4022985,45034837,136353.0,49868442,1056,769521,71552,854198
67,2020-07-22,56,3951433,44265316,135297.0,49014244,1171,727105,69333,811764
68,2020-07-21,56,3882100,43538211,134126.0,48202480,1039,686361,63930,769140
69,2020-07-20,56,3818170,42851850,133087.0,47433340,363,654148,57041,719832
70,2020-07-19,56,3761129,42197702,132724.0,46713508,527,715331,64260,780200
71,2020-07-18,56,3696869,41482371,132197.0,45933308,872,691886,64951,772341
72,2020-07-17,56,3631918,40790485,131325.0,45160967,951,757657,76842,843822
73,2020-07-16,56,3555076,40032828,130374.0,44317145,947,756287,71036,838594
74,2020-07-15,56,3484040,39276541,129427.0,43478551,858,703090,65797,786692
75,2020-07-14,56,3418243,38573451,128569.0,42691859,736,702900,62729,777387
76,2020-07-13,56,3355514,37870551,127833.0,41914472,327,636500,58091,709056
77,2020-07-12,56,3297423,37234051,127506.0,41205416,476,702394,61312,768418
78,2020-07-11,56,3236111,36531657,127030.0,40436998,757,637755,62895,714163
79,2020-07-10,56,3173216,35893902,126273.0,39722835,854,742929,66846,824529
80,2020-07-09,56,3106370,35150973,125419.0,38898306,867,646844,59157,720764
81,2020-07-08,56,3047213,34504129,124552.0,38177542,807,575559,62672,660159
82,2020-07-07,56,2984541,33928570,123745.0,37517383,923,584171,51728,649263
83,2020-07-06,56,2932813,33344399,122822.0,36868120,243,471602,41918,530573
84,2020-07-05,56,2890895,32872797,122579.0,36337547,209,633339,45612,688552
85,2020-07-04,56,2845283,32239458,122370.0,35648995,306,577481,54338,636301
86,2020-07-03,56,2790945,31661977,122064.0,35012694,598,654043,53948,708603
87,2020-07-02,56,2736997,31007934,121466.0,34304091,695,608354,54085,675071
88,2020-07-01,56,2682912,30399580,120771.0,33629020,701,589398,50981,651674
89,2020-06-30,56,2631931,29810182,120070.0,32977346,596,580152,47864,646356
90,2020-06-29,56,2584067,29230030,119474.0,32330990,332,615988,39813,669836
91,2020-06-28,56,2544254,28614042,119142.0,31661154,271,535806,41570,581668
92,2020-06-27,56,2502684,28078236,118871.0,31079486,511,555647,43164,602940
93,2020-06-26,56,2459520,27522589,118360.0,30476546,637,565494,44543,618253
94,2020-06-25,56,2414977,26957095,117723.0,29858293,647,602693,39640,646503
95,2020-06-24,56,2375337,26354402,117076.0,29211790,724,485049,39072,541511
96,2020-06-23,56,2336265,25869353,116352.0,28670279,710,469104,33447,511771
97,2020-06-22,56,2302818,25400249,115642.0,28158508,286,444089,27281,474533
98,2020-06-21,56,2275537,24956160,115356.0,27683975,294,496049,27928,533274
99,2020-06-20,56,2247609,24460111,115062.0,27150701,629,533304,32294,554584
100,2020-06-19,56,2215315,23926807,114433.0,26596117,655,548107,31471,589421
101,2020-06-18,56,2183844,23378700,113778.0,26006696,705,491625,27746,537771
102,2020-06-17,56,2156098,22887075,113073.0,25468925,767,463168,24001,506063
103,2020-06-16,56,2132097,22423907,112306.0,24962862,730,442650,23497,478442
104,2020-06-15,56,2108600,21981257,111576.0,24484420,381,415390,18630,444603
105,2020-06-14,56,2089970,21565867,111195.0,24039817,356,464154,21399,479218
106,2020-06-13,56,2068571,21101713,110839.0,23560599,694,471388,25376,508866
107,2020-06-12,56,2043195,20630325,110145.0,23051733,775,599972,23597,599084
108,2020-06-11,56,2019598,20030353,109370.0,22452649,899,438062,22153,471207
109,2020-06-10,56,1997445,19592291,108471.0,21981442,887,408971,20894,435890
110,2020-06-09,56,1976551,19183320,107584.0,21545552,902,404379,17312,440360
111,2020-06-08,56,1959239,18778941,106682.0,21105192,661,380221,17209,414342
112,2020-06-07,56,1942030,18398720,106021.0,20690850,447,404383,18740,422043
113,2020-06-06,56,1923290,17994337,105574.0,20268807,728,521778,23064,545022
114,2020-06-05,56,1900226,17472559,104846.0,19723785,826,484686,23400,515097
115,2020-06-04,56,1876826,16987873,104020.0,19208688,893,441895,20880,482410
116,2020-06-03,56,1855946,16545978,103127.0,18726278,993,448319,20392,476543
117,2020-06-02,56,1835554,16097659,102134.0,18249735,962,400600,20110,434634
118,2020-06-01,56,1815444,15697059,101172.0,17815101,668,393669,20482,413464
119,2020-05-31,56,1794962,15303390,100504.0,17401637,652,375191,21558,401575
120,2020-05-30,56,1773404,14928199,99852.0,17000062,932,402861,23682,433153
121,2020-05-29,56,1749722,14525338,98920.0,16566909,1184,465104,23574,500040
