,date,state,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease
0,2020-10-03,AK,147,3819,473256,3966
1,2020-10-03,AL,1682,9707,1174699,10444
2,2020-10-03,AR,746,9936,1068412,10478
3,2020-10-03,AS,0,0,1616,0
4,2020-10-03,AZ,636,9040,1492856,9641
5,2020-10-03,CA,2159,128298,14998888,130457
6,2020-10-03,CO,680,10033,937921,19426
7,2020-10-03,CT,0,0,1676410,0
8,2020-10-03,DC,50,3381,397549,3431
9,2020-10-03,DE,188,1987,292458,2175
10,2020-10-03,FL,2787,22151,5380511,24938
11,2020-10-03,GA,1444,29924,3001381,31368
12,2020-10-03,GU,82,556,51756,638
13,2020-10-03,HI,94,1660,302213,1754
14,2020-10-03,IA,911,4406,781309,5317
15,2020-10-03,ID,677,2552,318543,3105
16,2020-10-03,IL,2442,69192,5837501,71634
17,2020-10-03,IN,1419,8534,1408475,9953
18,2020-10-03,KS,0,0,531117,0
19,2020-10-03,KY,1274,10982,1443856,12004
20,2020-10-03,LA,0,0,2357449,0
21,2020-10-03,MA,672,13213,2290114,65768
22,2020-10-03,MD,597,9343,1649725,9940
23,2020-10-03,ME,18,0,449308,18
24,2020-10-03,MI,1275,39251,3764274,40526
25,2020-10-03,MN,1421,14061,1462532,29075
26,2020-10-03,MO,1708,11659,1339556,13367
27,2020-10-03,MP,0,0,15185,0
28,2020-10-03,MS,609,0,739010,609
29,2020-10-03,MT,501,920,354783,1421
30,2020-10-03,NC,2202,34360,3136266,36562
31,2020-10-03,ND,440,1254,246006,5849
32,2020-10-03,NE,792,4912,469968,5704
33,2020-10-03,NH,63,1632,279564,5180
34,2020-10-03,NJ,947,0,3673074,947
35,2020-10-03,NM,339,6673,935401,7012
36,2020-10-03,NV,526,3049,710210,3575
37,2020-10-03,NY,1731,132536,11110291,134267
38,2020-10-03,OH,1157,45870,3318775,47027
39,2020-10-03,OK,1189,16473,1254740,17662
40,2020-10-03,OR,348,4262,701903,4610
41,2020-10-03,PA,0,0,2066255,0
42,2020-10-03,PR,628,0,356347,628
43,2020-10-03,RI,0,0,345909,0
44,2020-10-03,SC,1706,0,1339758,1706
45,2020-10-03,SD,464,1294,198019,1758
46,2020-10-03,TN,1192,16756,2936962,17948
47,2020-10-03,TX,7006,97191,6472939,104197
48,2020-10-03,UT,1068,6029,852680,7097
49,2020-10-03,VA,1116,18444,2122064,19517
50,2020-10-03,VI,0,0,21023,0
51,2020-10-03,VT,10,917,165786,927
52,2020-10-03,WA,694,20361,1905759,21685
53,2020-10-03,WI,3054,11192,1594941,14246
54,2020-10-03,WV,161,6045,582705,6206
55,2020-10-03,WY,151,0,103429,151
56,2020-10-02,AK,128,6839,469290,6967
57,2020-10-02,AL,954,6042,1163310,6869
58,2020-10-02,AR,958,10866,1057730,11644
59,2020-10-02,AS,0,45,1616,45
60,2020-10-02,AZ,551,6657,1483180,7136
61,2020-10-02,CA,3590,92990,14868431,96580
62,2020-10-02,CO,682,10142,927208,19761
63,2020-10-02,CT,555,71475,1676410,72030
64,2020-10-02,DC,65,3873,394118,3938
65,2020-10-02,DE,150,1916,290283,2066
66,2020-10-02,FL,2660,23026,5355545,25686
67,2020-10-02,GA,1300,14321,2970013,15621
68,2020-10-02,GU,67,503,51118,570
69,2020-10-02,HI,105,1712,300459,1817
70,2020-10-02,IA,925,4124,775992,5049
71,2020-10-02,ID,513,1783,315314,2181
72,2020-10-02,IL,2456,70485,5765867,72941
73,2020-10-02,IN,1464,9327,1398522,10791
74,2020-10-02,KS,1362,8305,531117,9667
75,2020-10-02,KY,999,21986,1431600,22758
76,2020-10-02,LA,817,21887,2357449,22704
77,2020-10-02,MA,761,20698,2276229,74914
78,2020-10-02,MD,712,10873,1639785,11585
79,2020-10-02,ME,37,6862,449290,6899
80,2020-10-02,MI,984,39183,3723748,40167
81,2020-10-02,MN,1166,16309,1447050,31075
82,2020-10-02,MO,1485,9286,1326189,10771
83,2020-10-02,MP,3,0,15185,3
84,2020-10-02,MS,672,0,738401,672
85,2020-10-02,MT,355,4298,353362,4653
86,2020-10-02,NC,1775,34268,3099704,36043
87,2020-10-02,ND,476,936,244312,7119
88,2020-10-02,NE,621,4101,464264,4722
89,2020-10-02,NH,217,1818,277869,5055
90,2020-10-02,NJ,740,57741,3672127,58481
91,2020-10-02,NM,226,7154,928389,7380
92,2020-10-02,NV,772,4306,706635,5078
93,2020-10-02,NY,1598,117895,10976024,119493
94,2020-10-02,OH,1495,30056,3271748,31551
95,2020-10-02,OK,1190,13529,1236445,14719
96,2020-10-02,OR,301,5047,697293,5348
97,2020-10-02,PA,1161,15332,2066255,16493
98,2020-10-02,PR,680,0,355719,680
99,2020-10-02,RI,162,2248,345909,10814
100,2020-10-02,SC,862,20736,1338052,21598
101,2020-10-02,SD,386,872,196261,1258
102,2020-10-02,TN,971,15311,2919014,16282
103,2020-10-02,TX,3503,82910,6368742,86413
104,2020-10-02,UT,1107,8258,845583,9365
105,2020-10-02,VA,966,19265,2102498,20125
106,2020-10-02,VI,3,237,21023,240
107,2020-10-02,VT,13,1002,164859,1015
108,2020-10-02,WA,594,16021,1884704,15985
109,2020-10-02,WI,2825,10850,1580711,13675
110,2020-10-02,WV,283,9628,576499,9911
111,2020-10-02,WY,131,1852,103278,1983
112,2020-10-01,AK,132,4984,462323,5116
113,2020-10-01,AL,1043,6095,1156314,6693
114,2020-10-01,AR,1124,11978,1045906,12899
115,2020-10-01,AS,0,0,1571,0
116,2020-10-01,AZ,705,13119,1475972,13793
117,2020-10-01,CA,3062,63587,14771851,66649
118,2020-10-01,CO,511,8721,916384,15979
119,2020-10-01,CT,192,10195,1604380,10387
120,2020-10-01,DC,32,2288,390180,2320
121,2020-10-01,DE,174,1481,288217,1655
122,2020-10-01,FL,2628,22023,5329821,24651
123,2020-10-01,GA,1308,19405,2954392,20713
124,2020-10-01,GU,62,372,50548,434
125,2020-10-01,HI,120,1842,298642,1962
126,2020-10-01,IA,1038,5038,770943,6076
127,2020-10-01,ID,614,1963,313018,2450
128,2020-10-01,IL,2166,63449,5692926,65615
129,2020-10-01,IN,1157,6724,1387731,7881
130,2020-10-01,KS,0,0,521450,0
131,2020-10-01,KY,888,23118,1408615,23775
132,2020-10-01,LA,551,15590,2334745,16141
133,2020-10-01,MA,754,17451,2254770,74487
134,2020-10-01,MD,785,9408,1628200,10193
135,2020-10-01,ME,40,7251,442391,7291
136,2020-10-01,MI,998,34721,3683581,35719
137,2020-10-01,MN,1066,13808,1429575,25721
138,2020-10-01,MO,1799,9234,1315418,11033
139,2020-10-01,MP,0,0,15182,0
140,2020-10-01,MS,696,0,737729,696
141,2020-10-01,MT,429,5122,348709,5551
142,2020-10-01,NC,2277,26513,3063661,28790
143,2020-10-01,ND,372,1036,242900,5844
144,2020-10-01,NE,520,3384,459542,3904
145,2020-10-01,NH,51,2070,275834,5339
146,2020-10-01,NJ,614,0,3613646,614
147,2020-10-01,NM,278,5745,921009,6023
148,2020-10-01,NV,430,3031,701557,3461
149,2020-10-01,NY,1382,107836,10856531,109218
150,2020-10-01,OH,1327,72935,3240197,74262
151,2020-10-01,OK,1170,10243,1223964,11413
152,2020-10-01,OR,353,5719,691945,6072
153,2020-10-01,PA,1156,10512,2049762,11668
154,2020-10-01,PR,312,0,355039,312
155,2020-10-01,RI,166,2732,343499,16378
156,2020-10-01,SC,381,6975,1316454,7356
157,2020-10-01,SD,747,3487,195003,4234
158,2020-10-01,TN,1293,17083,2902732,18376
159,2020-10-01,TX,3534,41638,6282329,45172
160,2020-10-01,UT,1008,5240,836218,6248
161,2020-10-01,VA,450,23872,2082293,24248
162,2020-10-01,VI,5,205,20777,210
163,2020-10-01,VT,3,1114,163844,1117
164,2020-10-01,WA,480,13210,1868089,13690
165,2020-10-01,WI,3000,11474,1567006,14474
166,2020-10-01,WV,176,4844,566588,5020
167,2020-10-01,WY,135,0,101295,135
168,2020-09-30,AK,106,6045,457207,6151
169,2020-09-30,AL,1147,11312,1149176,12327
170,2020-09-30,AR,942,21205,1032804,21812
171,2020-09-30,AS,0,0,1571,0
172,2020-09-30,AZ,323,3735,1462148,4047
173,2020-09-30,CA,3200,88457,14705202,91657
174,2020-09-30,CO,535,6743,907152,14538
175,2020-09-30,CT,221,12180,1593993,12401
176,2020-09-30,DC,26,1438,387860,1464
177,2020-09-30,DE,82,992,286562,1074
178,2020-09-30,FL,1948,9120,5305164,11068
179,2020-09-30,GA,1720,21126,2933679,22846
180,2020-09-30,GU,45,342,50114,387
181,2020-09-30,HI,87,0,296680,87
182,2020-09-30,IA,1120,5359,764867,6479
183,2020-09-30,ID,511,1388,310441,1815
184,2020-09-30,IL,2273,56273,5627311,58546
185,2020-09-30,IN,953,7542,1379850,8495
186,2020-09-30,KS,1120,6421,521450,7541
187,2020-09-30,KY,984,12384,1384609,13058
188,2020-09-30,LA,610,10237,2318604,10847
189,2020-09-30,MA,532,13894,2236565,62393
190,2020-09-30,MD,414,7283,1618007,7697
191,2020-09-30,ME,54,6992,435100,7046
192,2020-09-30,MI,1194,28584,3647862,29778
193,2020-09-30,MN,687,7436,1414701,12817
194,2020-09-30,MO,1351,0,1304385,1351
195,2020-09-30,MP,0,336,15182,336
196,2020-09-30,MS,552,0,737033,552
197,2020-09-30,MT,347,2885,343158,3232
198,2020-09-30,NC,1495,13790,3034871,15285
199,2020-09-30,ND,445,1199,241492,5102
200,2020-09-30,NE,466,2615,455638,3081
201,2020-09-30,NH,33,3476,273713,6503
202,2020-09-30,NJ,712,45560,3613032,46272
203,2020-09-30,NM,172,5309,914986,5481
204,2020-09-30,NV,385,1991,698096,2376
205,2020-09-30,NY,1000,96960,10747313,97960
206,2020-09-30,OH,1080,23478,3165935,24558
207,2020-09-30,OK,980,10645,1208954,11625
208,2020-09-30,OR,218,6272,685873,6490
209,2020-09-30,PA,1153,12366,2038094,13519
210,2020-09-30,PR,288,0,354727,288
211,2020-09-30,RI,192,2511,340601,9594
212,2020-09-30,SC,308,8376,1309098,8684
213,2020-09-30,SD,392,1231,190769,1623
214,2020-09-30,TN,1528,22347,2884356,23875
215,2020-09-30,TX,5683,30648,6237157,36331
216,2020-09-30,UT,906,7200,829970,8106
217,2020-09-30,VA,755,9825,2057959,10478
218,2020-09-30,VI,0,188,20582,188
219,2020-09-30,VT,3,-23,162727,-20
220,2020-09-30,WA,404,5532,1854399,5936
221,2020-09-30,WI,2459,9473,1552560,11932
222,2020-09-30,WV,156,3099,561568,3255
223,2020-09-30,WY,127,490,101160,617
224,2020-09-29,AK,125,6140,451056,6265
225,2020-09-29,AL,571,2872,1136717,3366
226,2020-09-29,AR,706,9725,1010657,10207
227,2020-09-29,AS,0,0,1571,0
228,2020-09-29,AZ,674,4164,1458090,4816
229,2020-09-29,CA,2162,126531,14613545,128693
230,2020-09-29,CO,411,6082,899874,13239
231,2020-09-29,CT,182,10204,1581592,10386
232,2020-09-29,DC,36,3312,386396,3348
233,2020-09-29,DE,142,1531,285488,1673
234,2020-09-29,FL,3266,25178,5294097,28444
235,2020-09-29,GA,1025,11310,2910833,12335
236,2020-09-29,GU,53,463,49727,516
237,2020-09-29,HI,87,2765,296593,2852
238,2020-09-29,IA,474,2598,758388,3072
239,2020-09-29,ID,422,1266,308542,1639
240,2020-09-29,IL,1362,44262,5568765,45624
241,2020-09-29,IN,744,4317,1371355,5061
242,2020-09-29,KS,0,0,513909,0
243,2020-09-29,KY,917,69133,1371241,69789
244,2020-09-29,LA,533,17606,2307757,18139
245,2020-09-29,MA,512,13674,2222139,57005
246,2020-09-29,MD,431,6780,1610310,7211
247,2020-09-29,ME,37,4621,428054,4658
248,2020-09-29,MI,1118,22976,3618084,24094
249,2020-09-29,MN,809,7904,1406578,14235
250,2020-09-29,MO,76,0,1303034,76
251,2020-09-29,MP,0,0,14846,0
252,2020-09-29,MS,589,0,736481,589
253,2020-09-29,MT,311,2419,339926,2730
254,2020-09-29,NC,889,14164,3019586,15053
255,2020-09-29,ND,418,693,239848,4463
256,2020-09-29,NE,515,3681,452557,4196
257,2020-09-29,NH,25,812,270204,6576
258,2020-09-29,NJ,456,0,3566760,456
259,2020-09-29,NM,141,4035,909505,4176
260,2020-09-29,NV,404,2643,695720,3047
261,2020-09-29,NY,1189,87042,10649353,88231
262,2020-09-29,OH,1105,34096,3141377,35201
263,2020-09-29,OK,1025,30709,1195540,31734
264,2020-09-29,OR,297,4057,679383,4354
265,2020-09-29,PA,988,11270,2024575,12258
266,2020-09-29,PR,1045,0,354439,1045
267,2020-09-29,RI,132,2082,337898,7072
268,2020-09-29,SC,1179,25307,1300414,26486
269,2020-09-29,SD,259,543,189146,802
270,2020-09-29,TN,879,12260,2860481,13139
271,2020-09-29,TX,3541,25530,6200826,29071
272,2020-09-29,UT,694,3709,821864,4403
273,2020-09-29,VA,923,11525,2047425,12342
274,2020-09-29,VI,1,212,20382,213
275,2020-09-29,VT,4,818,162747,822
276,2020-09-29,WA,369,10888,1848463,11257
277,2020-09-29,WI,2447,8397,1540646,10844
278,2020-09-29,WV,180,4863,558313,5043
279,2020-09-29,WY,67,360,100543,427
280,2020-09-28,AK,118,1688,444791,1922
281,2020-09-28,AL,662,4606,1133274,5107
282,2020-09-28,AR,807,56285,1000226,57071
283,2020-09-28,AS,0,0,1571,0
284,2020-09-28,AZ,273,5134,1453252,5389
285,2020-09-28,CA,2955,148399,14484852,151354
286,2020-09-28,CO,569,9970,893381,17748
287,2020-09-28,CT,560,51495,1571206,52055
288,2020-09-28,DC,14,1875,383048,1889
289,2020-09-28,DE,129,1662,283815,1791
290,2020-09-28,FL,738,7493,5265674,8231
291,2020-09-28,GA,596,11633,2898498,12229
292,2020-09-28,GU,36,456,49211,492
293,2020-09-28,HI,98,1807,293741,1905
294,2020-09-28,IA,366,327,755316,693
295,2020-09-28,ID,205,1868,306854,2046
296,2020-09-28,IL,1709,39433,5523141,41142
297,2020-09-28,IN,872,6562,1366294,7434
298,2020-09-28,KS,2037,9102,513909,11139
299,2020-09-28,KY,448,17692,1301191,18452
300,2020-09-28,LA,240,6229,2289618,6469
301,2020-09-28,MA,430,12682,2207953,49373
302,2020-09-28,MD,477,8259,1603099,8736
303,2020-09-28,ME,12,2188,423396,2200
304,2020-09-28,MI,1329,49604,3593990,50933
305,2020-09-28,MN,904,12449,1397865,22015
306,2020-09-28,MO,1280,3572,1302958,4852
307,2020-09-28,MP,0,0,14846,0
308,2020-09-28,MS,190,4807,735892,4997
309,2020-09-28,MT,306,6583,337196,6889
310,2020-09-28,NC,868,24937,3004533,25805
311,2020-09-28,ND,259,860,238737,3855
312,2020-09-28,NE,467,2765,448361,3232
313,2020-09-28,NH,36,1845,269367,0
314,2020-09-28,NJ,559,52479,3566304,53038
315,2020-09-28,NM,152,5240,905329,5392
316,2020-09-28,NV,463,3254,692673,3717
317,2020-09-28,NY,834,52102,10561122,52936
318,2020-09-28,OH,993,33996,3106176,34989
319,2020-09-28,OK,1684,0,1167322,1684
320,2020-09-28,OR,174,3365,675029,3539
321,2020-09-28,PA,676,10421,2012317,11097
322,2020-09-28,PR,1118,0,353394,1118
323,2020-09-28,RI,26,538,335684,2008
324,2020-09-28,SC,568,20822,1273928,21390
325,2020-09-28,SD,197,643,188344,840
326,2020-09-28,TN,737,14069,2847342,14806
327,2020-09-28,TX,4611,150237,6171755,154848
328,2020-09-28,UT,827,5385,817461,6212
329,2020-09-28,VA,449,23629,2034905,24039
330,2020-09-28,VI,0,0,20167,0
331,2020-09-28,VT,3,932,161925,935
332,2020-09-28,WA,439,16144,1837206,16583
333,2020-09-28,WI,1739,6159,1529756,7898
334,2020-09-28,WV,164,3383,553270,3547
335,2020-09-28,WY,121,1956,100116,2077
336,2020-09-27,AK,116,0,442985,0
337,2020-09-27,AL,730,5637,1128006,6307
338,2020-09-27,AR,487,6257,943134,6732
339,2020-09-27,AS,0,0,1571,0
340,2020-09-27,AZ,411,8757,1447845,9096
341,2020-09-27,CA,4071,146697,14333498,150768
342,2020-09-27,CO,584,9526,882842,18042
343,2020-09-27,CT,0,0,1519151,0
344,2020-09-27,DC,35,3145,381159,3180
345,2020-09-27,DE,104,1521,282024,1625
346,2020-09-27,FL,1882,16552,5257442,18434
347,2020-09-27,GA,812,13102,2886269,13914
348,2020-09-27,GU,0,0,48719,0
349,2020-09-27,HI,127,1563,291836,1690
350,2020-09-27,IA,692,3033,754623,3725
351,2020-09-27,ID,539,2065,304781,2554
352,2020-09-27,IL,1604,49218,5481999,50822
353,2020-09-27,IN,901,7569,1358860,8470
354,2020-09-27,KS,0,0,502770,0
355,2020-09-27,KY,455,0,1283051,0
356,2020-09-27,LA,923,26161,2283149,27084
357,2020-09-27,MA,592,17471,2194841,101826
358,2020-09-27,MD,431,9632,1594363,10063
359,2020-09-27,ME,28,14749,421196,14777
360,2020-09-27,MI,0,0,3543057,0
361,2020-09-27,MN,1075,14755,1384512,26385
362,2020-09-27,MO,1392,7545,1298106,8937
363,2020-09-27,MP,1,0,14846,1
